_id,lat,lon,area,price,num_bed,num_bath,category,hospital,university,medical_supply,pharmacy,school,college,cafe,bus_station,police,bank,marketplace
ObjectId(5e5f3c2738c1de470fcd1a73),21.0348557,105.84494859999997,66.0,13900000000.0,4.0,4.0,2,10,0,1,10,10,1,10,9,4,10,3
ObjectId(5e5f3c1738c1de470fcd1a41),20.986944199999996,105.85245399999997,40.0,2600000000.0,4.0,4.0,2,10,1,0,10,10,1,10,4,0,10,2
ObjectId(5e5f3c1738c1de470fcd1a44),21.014198399999998,105.79584820000001,40.0,3300000000.0,3.0,3.0,2,10,3,0,10,10,1,10,0,2,10,5
ObjectId(5e5f3c1738c1de470fcd1a45),21.065051500000003,105.81007309999997,35.0,2850000000.00,4.0,4.0,2,10,0,0,10,10,0,10,0,0,10,2
ObjectId(5e5f3c1738c1de470fcd1a46),21.022900699999997,105.80087660000004,60.0,5000000000,3.0,4.0,2,0,0,0,0,10,0,0,0,0,0,0
ObjectId(5e5f3c1738c1de470fcd1a47),21.0020826,105.84593769999992,150.0,54600000000.0,4.0,4.0,2,0,0,0,0,0,5,10,0,2,0,0
ObjectId(5e5f3c1838c1de470fcd1a4a),21.0250451,105.90788470000008,49.0,3100000000.0,3.0,3.0,2,9,0,0,0,8,0,0,4,0,0,0
ObjectId(5e5f3c1738c1de470fcd1a48),21.031216399999998,105.8175337,70.0,10500000000.0,4.0,4.0,2,0,0,0,10,10,5,10,0,0,10,0
ObjectId(5e5f3c1e38c1de470fcd1a54),20.983224399999997,105.88706599999999,34.0,2200000000.0,3.0,3.0,2,0,0,0,0,0,0,0,0,1,0,1
ObjectId(5e5f3c1e38c1de470fcd1a58),21.0337815,105.81405389999998,45.0,5000000000,4.0,4.0,2,10,3,0,0,10,6,0,2,5,10,0
ObjectId(5e5f3c2038c1de470fcd1a61),21.034736499999998,105.76494159999993,65.0,17000000000,4.0,4.0,2,10,0,0,0,0,6,0,8,2,0,1
ObjectId(5e5f3c1b38c1de470fcd1a4e),21.031216399999998,105.8175337,65.0,10500000000.0,4.0,4.0,2,0,0,0,0,0,5,10,5,0,0,3
ObjectId(5e5f3c1b38c1de470fcd1a50),20.9892354,105.87453589999996,26.0,1680000000.00,3.0,3.0,2,0,4,0,0,0,2,0,5,0,0,1
ObjectId(5e5f3c2338c1de470fcd1a62),21.0729815,105.80225429999996,46.0,6000000000,4.0,4.0,2,0,0,0,0,0,0,10,2,3,4,0
ObjectId(5e5f3c2338c1de470fcd1a63),21.022946100000002,105.8098437,70.0,10500000000.0,4.0,4.0,2,10,0,2,10,0,7,0,9,1,10,1
ObjectId(5e5f3c2038c1de470fcd1a60),21.0015245,105.80338899999992,55.0,8500000000.0,5.0,5.0,2,10,0,0,0,0,3,10,10,1,0,0
ObjectId(5e5f3c2b38c1de470fcd1a77),21.035363,105.81928590000008,39.0,3960000000.00,3.0,4.0,2,10,3,0,10,10,3,10,0,2,10,0
ObjectId(5e5f3c2038c1de470fcd1a5f),20.986711899999996,105.84116210000002,52.0,3000000000,4.0,4.0,2,10,4,5,10,10,0,10,6,2,0,0
ObjectId(5e5f3c2338c1de470fcd1a68),20.9887717,105.81803190000004,35.0,3300000000.0,3.0,3.0,2,10,0,1,10,10,0,10,2,2,1,1
ObjectId(5e5f3c2838c1de470fcd1a76),21.065051500000003,105.81007309999997,35.0,2850000000.00,4.0,4.0,2,10,0,0,10,10,2,10,10,4,10,2
ObjectId(5e5f3c2538c1de470fcd1a6d),21.070030600000003,105.82613919999994,36.0,3900000000.0,3.0,4.0,2,7,0,0,10,10,1,10,7,3,4,6
ObjectId(5e5f3c2538c1de470fcd1a70),21.065051500000003,105.81007309999997,41.8,3700000000.0,2.0,2.0,2,10,0,0,10,10,2,10,10,4,10,2
ObjectId(5e5f3c1f38c1de470fcd1a5e),20.965066500000002,105.77085190000004,51.0,4200000000.0,3.0,3.0,2,10,0,6,10,10,0,10,10,3,10,1
ObjectId(5e5f3c2738c1de470fcd1a75),21.0001492,105.8312638,45.0,5200000000.0,4.0,4.0,2,10,5,10,10,9,0,10,10,5,10,0
ObjectId(5e5f3c1e38c1de470fcd1a55),21.022900699999997,105.80087660000004,45.0,10000000000,4.0,4.0,2,10,1,1,10,10,1,10,9,2,10,5
ObjectId(5e5f3c2338c1de470fcd1a67),20.9988954,105.85329769999998,24.0,2600000000.0,4.0,4.0,2,10,1,1,10,10,3,10,9,3,10,3
